All event log messages.
Date:	2016-09-21 09:52:02
System Name:	14000-500407
Controller Name:	
Controller Id	14000-500407

RobotWare: 6.03.00.00
Key:	
Options:	
	RobotWare Base
	709-1 DeviceNet Master/Slave
	603-1 Absolute Accuracy
	Contact L
	623-1 Multitasking
	604-1 MultiMove Coordinated
	608-1 World Zones
	611-1 Path Recovery
	612-1 Path Offset
	613-1 Collision Detection
	841-1 EtherNet/IP Scanner/Adapter
	1341-1/1520-1 Integrated Vision Interface
	988-1 RW Add-In Prepared
	688-1 RobotStudio App Connect
	617-1 FlexPendant Interface
	616-1 PC Interface

Robot1
Key:	
Options:	
	Motor Commutation
	Service Info System
	Pendelum Calibration
	Drive System IRB 14000
	Hall Sensor Calibration
	IRB 14000-0.5/0.5

SmartGripperV3_3
	Key:	
Options:	
	SmartGripperV3.3

Common log messages
SeqNo     	Type	Category            	Code    	Title                                   	Date                	Description	Arguments
32618     	W   	Motion              	50024   	Corner path failure                     	2016-09-20 06:36:45 	Task: T_ROB_LCorner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program Ref. /SERVER_L/main/MoveL/240	{args: "T_ROB_L", "/SERVER_L/main/MoveL/240"}
32619     	W   	Motion              	50024   	Corner path failure                     	2016-09-20 06:36:45 	Task: T_ROB_RCorner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program Ref. /SERVER_R/main/MoveL/241	{args: "T_ROB_R", "/SERVER_R/main/MoveL/241"}
32620     	W   	Motion              	50024   	Corner path failure                     	2016-09-20 06:36:45 	Task: T_ROB_LCorner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program Ref. /SERVER_L/main/MoveL/240	{args: "T_ROB_L", "/SERVER_L/main/MoveL/240"}
32621     	W   	Motion              	50024   	Corner path failure                     	2016-09-20 06:36:46 	Task: T_ROB_RCorner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program Ref. /SERVER_R/main/MoveL/241	{args: "T_ROB_R", "/SERVER_R/main/MoveL/241"}
32622     	W   	Motion              	50024   	Corner path failure                     	2016-09-20 06:36:46 	Task: T_ROB_LCorner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program Ref. /SERVER_L/main/MoveL/240	{args: "T_ROB_L", "/SERVER_L/main/MoveL/240"}
32623     	W   	Motion              	50024   	Corner path failure                     	2016-09-20 06:36:47 	Task: T_ROB_RCorner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program Ref. /SERVER_R/main/MoveL/241	{args: "T_ROB_R", "/SERVER_R/main/MoveL/241"}
32624     	W   	Motion              	50024   	Corner path failure                     	2016-09-20 06:36:47 	Task: T_ROB_RCorner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program Ref. /SERVER_R/main/MoveL/241	{args: "T_ROB_R", "/SERVER_R/main/MoveL/241"}
32625     	W   	Motion              	50024   	Corner path failure                     	2016-09-20 06:36:47 	Task: T_ROB_LCorner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program Ref. /SERVER_L/main/MoveL/240	{args: "T_ROB_L", "/SERVER_L/main/MoveL/240"}
32626     	W   	Motion              	50024   	Corner path failure                     	2016-09-20 06:36:47 	Task: T_ROB_LCorner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program Ref. /SERVER_L/main/MoveL/240	{args: "T_ROB_L", "/SERVER_L/main/MoveL/240"}
32627     	W   	Motion              	50024   	Corner path failure                     	2016-09-20 06:36:48 	Task: T_ROB_RCorner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program Ref. /SERVER_R/main/MoveL/241	{args: "T_ROB_R", "/SERVER_R/main/MoveL/241"}
32628     	W   	Motion              	50024   	Corner path failure                     	2016-09-20 06:36:49 	Task: T_ROB_LCorner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program Ref. /SERVER_L/main/MoveL/240	{args: "T_ROB_L", "/SERVER_L/main/MoveL/240"}
32629     	W   	Motion              	50024   	Corner path failure                     	2016-09-20 06:36:49 	Task: T_ROB_RCorner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program Ref. /SERVER_R/main/MoveL/241	{args: "T_ROB_R", "/SERVER_R/main/MoveL/241"}
32630     	W   	Motion              	50024   	Corner path failure                     	2016-09-20 06:36:50 	Task: T_ROB_LCorner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program Ref. /SERVER_L/main/MoveL/240	{args: "T_ROB_L", "/SERVER_L/main/MoveL/240"}
32631     	W   	Motion              	50024   	Corner path failure                     	2016-09-20 06:36:50 	Task: T_ROB_RCorner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program Ref. /SERVER_R/main/MoveL/241	{args: "T_ROB_R", "/SERVER_R/main/MoveL/241"}
32632     	W   	Motion              	50024   	Corner path failure                     	2016-09-20 06:36:51 	Task: T_ROB_RCorner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program Ref. /SERVER_R/main/MoveL/241	{args: "T_ROB_R", "/SERVER_R/main/MoveL/241"}
32633     	W   	Motion              	50024   	Corner path failure                     	2016-09-20 06:36:51 	Task: T_ROB_RCorner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program Ref. /SERVER_R/main/MoveL/241	{args: "T_ROB_R", "/SERVER_R/main/MoveL/241"}
32634     	W   	Motion              	50024   	Corner path failure                     	2016-09-20 06:36:52 	Task: T_ROB_RCorner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program Ref. /SERVER_R/main/MoveL/241	{args: "T_ROB_R", "/SERVER_R/main/MoveL/241"}
32635     	W   	Motion              	50024   	Corner path failure                     	2016-09-20 06:36:53 	Task: T_ROB_RCorner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program Ref. /SERVER_R/main/MoveL/241	{args: "T_ROB_R", "/SERVER_R/main/MoveL/241"}
32636     	W   	Motion              	50024   	Corner path failure                     	2016-09-20 06:36:53 	Task: T_ROB_RCorner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program Ref. /SERVER_R/main/MoveL/241	{args: "T_ROB_R", "/SERVER_R/main/MoveL/241"}
32637     	W   	Motion              	50024   	Corner path failure                     	2016-09-20 06:36:54 	Task: T_ROB_LCorner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program Ref. /SERVER_L/main/MoveL/240	{args: "T_ROB_L", "/SERVER_L/main/MoveL/240"}
32638     	W   	Motion              	50024   	Corner path failure                     	2016-09-20 06:36:54 	Task: T_ROB_RCorner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program Ref. /SERVER_R/main/MoveL/241	{args: "T_ROB_R", "/SERVER_R/main/MoveL/241"}
32639     	W   	Motion              	50024   	Corner path failure                     	2016-09-20 06:36:55 	Task: T_ROB_LCorner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program Ref. /SERVER_L/main/MoveL/240	{args: "T_ROB_L", "/SERVER_L/main/MoveL/240"}
32640     	W   	Motion              	50024   	Corner path failure                     	2016-09-20 06:36:55 	Task: T_ROB_RCorner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program Ref. /SERVER_R/main/MoveL/241	{args: "T_ROB_R", "/SERVER_R/main/MoveL/241"}
32641     	W   	Motion              	50024   	Corner path failure                     	2016-09-20 06:36:55 	Task: T_ROB_LCorner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program Ref. /SERVER_L/main/MoveL/240	{args: "T_ROB_L", "/SERVER_L/main/MoveL/240"}
32642     	W   	Motion              	50024   	Corner path failure                     	2016-09-20 06:36:55 	Task: T_ROB_RCorner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program Ref. /SERVER_R/main/MoveL/241	{args: "T_ROB_R", "/SERVER_R/main/MoveL/241"}
32643     	W   	Motion              	50024   	Corner path failure                     	2016-09-20 06:36:59 	Task: T_ROB_RCorner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program Ref. /SERVER_R/main/MoveL/241	{args: "T_ROB_R", "/SERVER_R/main/MoveL/241"}
32644     	W   	Motion              	50024   	Corner path failure                     	2016-09-20 06:36:59 	Task: T_ROB_LCorner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program Ref. /SERVER_L/main/MoveL/240	{args: "T_ROB_L", "/SERVER_L/main/MoveL/240"}
32645     	W   	Motion              	50024   	Corner path failure                     	2016-09-20 06:36:59 	Task: T_ROB_RCorner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program Ref. /SERVER_R/main/MoveL/241	{args: "T_ROB_R", "/SERVER_R/main/MoveL/241"}
32647     	I   	Operational         	10020   	Execution error state                   	2016-09-20 06:37:00 	The program execution in task T_ROB_R has been stopped due to a spontaneous error.	{args: "1", "T_ROB_R"}
32648     	E   	Motion              	50036   	Correct regain impossible               	2016-09-20 06:37:00 	A stop occurred with too many close points with corner zones. At restart the robot will move to a point farther forward in the program.	{args: }
32649     	E   	Motion              	50036   	Correct regain impossible               	2016-09-20 06:37:00 	A stop occurred with too many close points with corner zones. At restart the robot will move to a point farther forward in the program.	{args: }
32650     	I   	Operational         	10020   	Execution error state                   	2016-09-20 06:37:00 	The program execution in task T_ROB_L has been stopped due to a spontaneous error.	{args: "2", "T_ROB_L"}
32651     	I   	Operational         	10125   	Program stopped                         	2016-09-20 06:37:00 	The task T_ROB_R has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB_R"}
32652     	I   	Operational         	10125   	Program stopped                         	2016-09-20 06:37:00 	The task T_ROB_L has stopped. The reason is that an external or internal stop has occurred. 	{args: "2", "T_ROB_L"}
32653     	I   	Operational         	10002   	Program pointer has been reset          	2016-09-20 06:55:23 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}
32654     	I   	Operational         	10002   	Program pointer has been reset          	2016-09-20 06:55:23 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
32655     	I   	Operational         	10021   	Execution error reset                   	2016-09-20 06:55:23 	 The program execution in task T_ROB_R has left a spontaneous error state. 	{args: "1", "T_ROB_R"}
32656     	I   	Operational         	10021   	Execution error reset                   	2016-09-20 06:55:23 	 The program execution in task T_ROB_L has left a spontaneous error state. 	{args: "2", "T_ROB_L"}
32657     	I   	Operational         	10052   	Regain start                            	2016-09-20 06:55:24 	A regain movement has started.	{args: "0"}
32658     	I   	Operational         	10053   	Regain ready                            	2016-09-20 06:55:24 	The regain movement is ready.	{args: "0"}
32659     	I   	Operational         	10151   	Program started                         	2016-09-20 06:55:24 	Execution of task T_ROB_R has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB_R"}
32660     	I   	Operational         	10151   	Program started                         	2016-09-20 06:55:24 	Execution of task T_ROB_L has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "T_ROB_L"}
32661     	E   	System              	20054   	Not allowed command                     	2016-09-20 07:03:00 	The command is NOT allowed when the program is executing.	{args: "46"}
32662     	W   	Program             	41595   	Socket error                            	2016-09-20 07:03:05 	Task: T_ROB_L.The connection has been closed by the remote host. Program Ref: /SERVER_L/main/SocketReceive/207.	{args: "T_ROB_L", "/SERVER_L/main/SocketReceive/207", "ERR_SOCK_CLOSED", "-28:10:2::56010:8388608.000000"}
32663     	I   	Operational         	10125   	Program stopped                         	2016-09-20 07:03:05 	The task T_ROB_R has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB_R"}
32664     	I   	Operational         	10125   	Program stopped                         	2016-09-20 07:03:05 	The task T_ROB_L has stopped. The reason is that an external or internal stop has occurred. 	{args: "2", "T_ROB_L"}
32665     	I   	Operational         	10015   	Manual mode selected                    	2016-09-20 07:03:07 	The system is in the Manual mode.	{args: }
32666     	W   	Motion              	50204   	Motion supervision                      	2016-09-20 07:04:47 	Motion supervision triggered for axis 7 on mechanical unit ROB_R.	{args: "7", "ROB_R"}
32667     	I   	Operational         	10024   	Collision triggered                     	2016-09-20 07:04:47 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
32668     	E   	Motion              	50052   	Joint speed error                       	2016-09-20 07:04:47 	The speed of joint rob_R_7 is wrong relative the ordered speed due to error in system or collision.	{args: "rob_R_7"}
32669     	I   	Operational         	10012   	Safety guard stop state                 	2016-09-20 07:04:47 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
32670     	E   	System              	20074   	Not allowed command                     	2016-09-20 07:04:48 	The command is not allowed in Guard Stop state.	{args: "46"}
32671     	E   	Motion              	50021   	Joint position error                    	2016-09-20 07:04:48 	Actual position of joint rob_L_5 is too far away from the ordered position.	{args: "rob_L_5"}
32672     	E   	System              	20074   	Not allowed command                     	2016-09-20 07:04:48 	The command is not allowed in Guard Stop state.	{args: "46"}
32673     	E   	Motion              	50021   	Joint position error                    	2016-09-20 07:04:48 	Actual position of joint rob_L_5 is too far away from the ordered position.	{args: "rob_L_5"}
32674     	I   	Operational         	10026   	Collision retraction                    	2016-09-20 07:04:48 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
32675     	I   	Operational         	10025   	Collision confirmed                     	2016-09-20 07:04:49 	The collision detection has been confirmed. 	{args: }
32676     	I   	Operational         	10010   	Motors OFF state                        	2016-09-20 07:04:50 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
32677     	I   	Operational         	10011   	Motors ON state                         	2016-09-20 07:04:51 	The system is in the Motors ON state.	{args: }
32678     	W   	Motion              	50204   	Motion supervision                      	2016-09-20 07:04:52 	Motion supervision triggered for axis 7 on mechanical unit ROB_R.	{args: "7", "ROB_R"}
32679     	I   	Operational         	10024   	Collision triggered                     	2016-09-20 07:04:52 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
32680     	I   	Operational         	10026   	Collision retraction                    	2016-09-20 07:04:54 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
32681     	W   	Motion              	50204   	Motion supervision                      	2016-09-20 07:04:54 	Motion supervision triggered for axis 7 on mechanical unit ROB_R.	{args: "7", "ROB_R"}
32682     	I   	Operational         	10024   	Collision triggered                     	2016-09-20 07:04:54 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
32683     	I   	Operational         	10026   	Collision retraction                    	2016-09-20 07:04:55 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
32684     	W   	Motion              	50204   	Motion supervision                      	2016-09-20 07:04:55 	Motion supervision triggered for axis 7 on mechanical unit ROB_R.	{args: "7", "ROB_R"}
32685     	I   	Operational         	10024   	Collision triggered                     	2016-09-20 07:04:55 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
32686     	I   	Operational         	10026   	Collision retraction                    	2016-09-20 07:04:56 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
32687     	W   	Motion              	50204   	Motion supervision                      	2016-09-20 07:04:57 	Motion supervision triggered for axis 7 on mechanical unit ROB_R.	{args: "7", "ROB_R"}
32688     	I   	Operational         	10024   	Collision triggered                     	2016-09-20 07:04:57 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
32689     	I   	Operational         	10026   	Collision retraction                    	2016-09-20 07:04:58 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
32690     	W   	Motion              	50204   	Motion supervision                      	2016-09-20 07:04:58 	Motion supervision triggered for axis 7 on mechanical unit ROB_R.	{args: "7", "ROB_R"}
32691     	I   	Operational         	10024   	Collision triggered                     	2016-09-20 07:04:58 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
32692     	I   	Operational         	10026   	Collision retraction                    	2016-09-20 07:05:00 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
32693     	E   	Motion              	50052   	Joint speed error                       	2016-09-20 07:05:01 	The speed of joint rob_R_5 is wrong relative the ordered speed due to error in system or collision.	{args: "rob_R_5"}
32694     	I   	Operational         	10012   	Safety guard stop state                 	2016-09-20 07:05:01 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
32695     	I   	Operational         	10025   	Collision confirmed                     	2016-09-20 07:05:04 	The collision detection has been confirmed. 	{args: }
32696     	I   	Operational         	10010   	Motors OFF state                        	2016-09-20 07:05:06 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
32697     	I   	Operational         	10011   	Motors ON state                         	2016-09-20 07:05:06 	The system is in the Motors ON state.	{args: }
32698     	I   	Operational         	10016   	Automatic mode requested                	2016-09-20 07:05:21 	The system has been ordered to go to the Automatic mode.	{args: }
32699     	I   	Operational         	10017   	Automatic mode confirmed                	2016-09-20 07:05:22 	The system is in the Automatic mode.	{args: }
32700     	I   	Operational         	10015   	Manual mode selected                    	2016-09-20 07:05:24 	The system is in the Manual mode.	{args: }
32701     	I   	Operational         	10016   	Automatic mode requested                	2016-09-20 07:05:31 	The system has been ordered to go to the Automatic mode.	{args: }
32702     	I   	Operational         	10002   	Program pointer has been reset          	2016-09-20 07:05:32 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}
32703     	I   	Operational         	10002   	Program pointer has been reset          	2016-09-20 07:05:32 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
32704     	I   	Operational         	10017   	Automatic mode confirmed                	2016-09-20 07:05:32 	The system is in the Automatic mode.	{args: }
32705     	I   	Operational         	10052   	Regain start                            	2016-09-20 07:05:32 	A regain movement has started.	{args: "0"}
32706     	I   	Operational         	10053   	Regain ready                            	2016-09-20 07:05:32 	The regain movement is ready.	{args: "0"}
32707     	I   	Operational         	10151   	Program started                         	2016-09-20 07:05:32 	Execution of task T_ROB_R has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB_R"}
32708     	I   	Operational         	10151   	Program started                         	2016-09-20 07:05:32 	Execution of task T_ROB_L has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "T_ROB_L"}
32709     	I   	Operational         	10230   	Backup step ready                       	2016-09-20 07:23:55 	The backup step Prepare is ready.	{args: "0"}
32710     	I   	Operational         	10231   	Backup step ready                       	2016-09-20 07:23:55 	The backup step Configuration is ready.	{args: "1"}
32711     	I   	Operational         	10232   	Backup step ready                       	2016-09-20 07:23:55 	The backup of Task is ready.	{args: "2"}
