All event log messages.
Date:	2016-10-22 01:51:36
System Name:	14000-500407
Controller Name:	
Controller Id	14000-500407

RobotWare: 6.03.00.00
Key:	
Options:	
	RobotWare Base
	709-1 DeviceNet Master/Slave
	603-1 Absolute Accuracy
	Contact L
	623-1 Multitasking
	604-1 MultiMove Coordinated
	608-1 World Zones
	611-1 Path Recovery
	612-1 Path Offset
	613-1 Collision Detection
	841-1 EtherNet/IP Scanner/Adapter
	1341-1/1520-1 Integrated Vision Interface
	988-1 RW Add-In Prepared
	688-1 RobotStudio App Connect
	617-1 FlexPendant Interface
	616-1 PC Interface

Robot1
Key:	
Options:	
	Motor Commutation
	Service Info System
	Pendelum Calibration
	Drive System IRB 14000
	Hall Sensor Calibration
	IRB 14000-0.5/0.5

SmartGripperV3_3
	Key:	
Options:	
	SmartGripperV3.3

Common log messages
SeqNo     	Type	Category            	Code    	Title                                   	Date                	Description	Arguments
62016     	I   	Operational         	10002   	Program pointer has been reset          	2016-10-19 09:18:18 	The program pointer of task Shared has been reset.	{args: "5", "0", "Shared"}
62017     	I   	Operational         	10002   	Program pointer has been reset          	2016-10-19 09:18:18 	The program pointer of task MotionSupL has been reset.	{args: "6", "0", "MotionSupL"}
62018     	I   	Operational         	10155   	Program restarted                       	2016-10-19 09:18:18 	Execution of task T_ROB_R has been restarted from where it was previously stopped. The originator could not be determined.	{args: "1", "T_ROB_R"}
62019     	I   	Operational         	10155   	Program restarted                       	2016-10-19 09:18:18 	Execution of task T_ROB_L has been restarted from where it was previously stopped. The originator could not be determined.	{args: "2", "T_ROB_L"}
62020     	I   	Operational         	10150   	Program started                         	2016-10-19 09:18:18 	Execution of task MotionLoggerL has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "3", "MotionLoggerL"}
62021     	I   	Operational         	10150   	Program started                         	2016-10-19 09:18:18 	Execution of task MotionLoggerR has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "4", "MotionLoggerR"}
62022     	I   	Operational         	10150   	Program started                         	2016-10-19 09:18:18 	Execution of task Shared has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "5", "Shared"}
62023     	I   	Operational         	10150   	Program started                         	2016-10-19 09:18:18 	Execution of task MotionSupL has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "6", "MotionSupL"}
62024     	I   	Operational         	10129   	Program stopped                         	2016-10-19 09:18:18 	The task MotionLoggerL has stopped. The reason is that the event routine for RESET or POWER_ON is ready. 	{args: "3", "MotionLoggerL"}
62025     	I   	Operational         	10129   	Program stopped                         	2016-10-19 09:18:18 	The task MotionLoggerR has stopped. The reason is that the event routine for RESET or POWER_ON is ready. 	{args: "4", "MotionLoggerR"}
62026     	I   	Operational         	10129   	Program stopped                         	2016-10-19 09:18:18 	The task Shared has stopped. The reason is that the event routine for RESET or POWER_ON is ready. 	{args: "5", "Shared"}
62027     	I   	Operational         	10129   	Program stopped                         	2016-10-19 09:18:18 	The task MotionSupL has stopped. The reason is that the event routine for RESET or POWER_ON is ready. 	{args: "6", "MotionSupL"}
62028     	I   	Operational         	10129   	Program stopped                         	2016-10-19 09:18:18 	The task T_ROB_R has stopped. The reason is that the event routine for RESET or POWER_ON is ready. 	{args: "1", "T_ROB_R"}
62029     	I   	Operational         	10129   	Program stopped                         	2016-10-19 09:18:18 	The task T_ROB_L has stopped. The reason is that the event routine for RESET or POWER_ON is ready. 	{args: "2", "T_ROB_L"}
62030     	I   	Operational         	10150   	Program started                         	2016-10-19 09:18:18 	Execution of task MotionLoggerL has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "3", "MotionLoggerL"}
62031     	I   	Operational         	10150   	Program started                         	2016-10-19 09:18:18 	Execution of task MotionLoggerR has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "4", "MotionLoggerR"}
62032     	I   	Operational         	10150   	Program started                         	2016-10-19 09:18:18 	Execution of task Shared has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "5", "Shared"}
62033     	I   	Operational         	10150   	Program started                         	2016-10-19 09:18:18 	Execution of task MotionSupL has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "6", "MotionSupL"}
62034     	E   	Operational         	10110   	Service Message                         	2016-10-19 09:18:18 	The gearbox at rob_R_1 of robot ROB_R needs service.	{args: "rob_R_1", "ROB_R"}
62035     	E   	Operational         	10110   	Service Message                         	2016-10-19 09:18:18 	The gearbox at rob_R_2 of robot ROB_R needs service.	{args: "rob_R_2", "ROB_R"}
62036     	E   	Operational         	10110   	Service Message                         	2016-10-19 09:18:18 	The gearbox at rob_L_1 of robot ROB_L needs service.	{args: "rob_L_1", "ROB_L"}
62037     	E   	Operational         	10110   	Service Message                         	2016-10-19 09:18:18 	The gearbox at rob_L_2 of robot ROB_L needs service.	{args: "rob_L_2", "ROB_L"}
62038     	E   	IO & Communication  	71367   	No communication with I/O device        	2016-10-19 09:18:18 	 During start-up, no communication was established with I/O device Hand_L with address 192.168.125.40 on the network EtherNetIP. 	{args: "Hand_L", "192.168.125.40", "EtherNetIP"}
62039     	E   	IO & Communication  	71367   	No communication with I/O device        	2016-10-19 09:18:18 	 During start-up, no communication was established with I/O device Hand_R with address 192.168.125.30 on the network EtherNetIP. 	{args: "Hand_R", "192.168.125.30", "EtherNetIP"}
62040     	I   	IO & Communication  	71276   	Communication established with I/O device	2016-10-19 09:18:43 	 Communication established with I/O device Hand_L with address 192.168.125.40 on network EtherNetIP. 	{args: "Hand_L", "192.168.125.40", "EtherNetIP"}
62041     	I   	IO & Communication  	71276   	Communication established with I/O device	2016-10-19 09:18:43 	 Communication established with I/O device Hand_R with address 192.168.125.30 on network EtherNetIP. 	{args: "Hand_R", "192.168.125.30", "EtherNetIP"}
62042     	I   	Operational         	10015   	Manual mode selected                    	2016-10-19 09:18:45 	The system is in the Manual mode.	{args: }
62043     	I   	Operational         	10012   	Safety guard stop state                 	2016-10-19 09:18:45 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
62044     	I   	Operational         	10010   	Motors OFF state                        	2016-10-19 09:18:46 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
62045     	I   	Operational         	10011   	Motors ON state                         	2016-10-19 09:18:47 	The system is in the Motors ON state.	{args: }
62046     	I   	Operational         	10016   	Automatic mode requested                	2016-10-19 09:18:48 	The system has been ordered to go to the Automatic mode.	{args: }
62047     	I   	Operational         	10017   	Automatic mode confirmed                	2016-10-19 09:18:49 	The system is in the Automatic mode.	{args: }
62048     	I   	Operational         	10002   	Program pointer has been reset          	2016-10-19 09:19:01 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}
62049     	I   	Operational         	10002   	Program pointer has been reset          	2016-10-19 09:19:01 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
62050     	I   	Operational         	10052   	Regain start                            	2016-10-19 09:19:01 	A regain movement has started.	{args: "0"}
62051     	I   	Operational         	10053   	Regain ready                            	2016-10-19 09:19:01 	The regain movement is ready.	{args: "0"}
62052     	I   	Operational         	10151   	Program started                         	2016-10-19 09:19:01 	Execution of task T_ROB_R has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB_R"}
62053     	I   	Operational         	10151   	Program started                         	2016-10-19 09:19:01 	Execution of task T_ROB_L has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "T_ROB_L"}
62054     	W   	Program             	41595   	Socket error                            	2016-10-19 09:19:17 	Task: T_ROB_L.The connection has been closed by the remote host. Program Ref: /SERVER_L/main/SocketReceive/245.	{args: "T_ROB_L", "/SERVER_L/main/SocketReceive/245", "ERR_SOCK_CLOSED", "-28:10:2::63104:8388608.000000"}
62055     	W   	Program             	41595   	Socket error                            	2016-10-19 09:19:27 	Task: T_ROB_L.The connection has been closed by the remote host. Program Ref: /SERVER_L/main/SocketReceive/245.	{args: "T_ROB_L", "/SERVER_L/main/SocketReceive/245", "ERR_SOCK_CLOSED", "54:10:2::63106:8388608.000000"}
62056     	W   	Motion              	50204   	Motion supervision                      	2016-10-19 09:19:35 	Motion supervision triggered for axis 7 on mechanical unit ROB_L.	{args: "7", "ROB_L"}
62057     	I   	Operational         	10024   	Collision triggered                     	2016-10-19 09:19:35 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
62058     	I   	Operational         	10026   	Collision retraction                    	2016-10-19 09:19:37 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
62059     	I   	Operational         	10125   	Program stopped                         	2016-10-19 09:19:37 	The task T_ROB_L has stopped. The reason is that an external or internal stop has occurred. 	{args: "2", "T_ROB_L"}
62060     	W   	Program             	41595   	Socket error                            	2016-10-19 09:19:37 	Task: T_ROB_R.The connection has been closed by the remote host. Program Ref: /SERVER_R/main/SocketReceive/224.	{args: "T_ROB_R", "/SERVER_R/main/SocketReceive/224", "ERR_SOCK_CLOSED", "54:10:2::63105:8388608.000000"}
62061     	I   	Operational         	10125   	Program stopped                         	2016-10-19 09:19:37 	The task T_ROB_R has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB_R"}
62062     	W   	System              	20408   	PP to Main rejected                     	2016-10-19 09:19:49 	Setting PP to Main, via System IO, was rejected.The reason is that write access is held by Default User (autolab) using RobotStudio@DESKTOP-6V4GH1M.	{args: "Default User (autolab)", "RobotStudio@DESKTOP-6V4GH1M"}
62063     	W   	System              	20391   	Start at main rejected                  	2016-10-19 09:19:50 	Start of program at main, via System IO, was rejected.The reason is that write access is held byDefault User (autolab) using RobotStudio@DESKTOP-6V4GH1M	{args: "Default User (autolab)", "RobotStudio@DESKTOP-6V4GH1M"}
62064     	I   	Operational         	10002   	Program pointer has been reset          	2016-10-19 09:20:24 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}
62065     	I   	Operational         	10002   	Program pointer has been reset          	2016-10-19 09:20:24 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
62066     	I   	Operational         	10025   	Collision confirmed                     	2016-10-19 09:20:25 	The collision detection has been confirmed. 	{args: }
62067     	I   	Operational         	10052   	Regain start                            	2016-10-19 09:20:25 	A regain movement has started.	{args: "0"}
62068     	I   	Operational         	10053   	Regain ready                            	2016-10-19 09:20:25 	The regain movement is ready.	{args: "0"}
62069     	I   	Operational         	10151   	Program started                         	2016-10-19 09:20:25 	Execution of task T_ROB_R has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB_R"}
62070     	I   	Operational         	10151   	Program started                         	2016-10-19 09:20:25 	Execution of task T_ROB_L has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "2", "T_ROB_L"}
62071     	W   	Motion              	50204   	Motion supervision                      	2016-10-19 09:20:33 	Motion supervision triggered for axis 7 on mechanical unit ROB_L.	{args: "7", "ROB_L"}
62072     	I   	Operational         	10024   	Collision triggered                     	2016-10-19 09:20:33 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
62073     	I   	Operational         	10026   	Collision retraction                    	2016-10-19 09:20:35 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
62074     	I   	Operational         	10125   	Program stopped                         	2016-10-19 09:20:35 	The task T_ROB_L has stopped. The reason is that an external or internal stop has occurred. 	{args: "2", "T_ROB_L"}
62075     	I   	Operational         	10125   	Program stopped                         	2016-10-19 09:20:43 	The task T_ROB_R has stopped. The reason is that an external or internal stop has occurred. 	{args: "1", "T_ROB_R"}
62076     	I   	Operational         	10045   	System restarted                        	2016-10-19 09:23:32 	System was restarted. 	{args: }
62077     	W   	Operational         	12700   	Missing time zone information           	2016-10-19 09:23:32 	No time zone information has been specified.	{args: }
62078     	I   	Operational         	10010   	Motors OFF state                        	2016-10-19 09:24:32 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
62079     	I   	Operational         	10017   	Automatic mode confirmed                	2016-10-19 09:24:32 	The system is in the Automatic mode.	{args: }
62080     	I   	Operational         	10002   	Program pointer has been reset          	2016-10-19 09:24:32 	The program pointer of task MotionLoggerL has been reset.	{args: "3", "0", "MotionLoggerL"}
62081     	I   	Operational         	10002   	Program pointer has been reset          	2016-10-19 09:24:32 	The program pointer of task MotionLoggerR has been reset.	{args: "4", "0", "MotionLoggerR"}
62082     	I   	Operational         	10002   	Program pointer has been reset          	2016-10-19 09:24:32 	The program pointer of task Shared has been reset.	{args: "5", "0", "Shared"}
62083     	E   	IO & Communication  	71367   	No communication with I/O device        	2016-10-19 09:24:32 	 During start-up, no communication was established with I/O device Hand_L with address 192.168.125.40 on the network EtherNetIP. 	{args: "Hand_L", "192.168.125.40", "EtherNetIP"}
62084     	E   	IO & Communication  	71367   	No communication with I/O device        	2016-10-19 09:24:32 	 During start-up, no communication was established with I/O device Hand_R with address 192.168.125.30 on the network EtherNetIP. 	{args: "Hand_R", "192.168.125.30", "EtherNetIP"}
62085     	I   	Operational         	10002   	Program pointer has been reset          	2016-10-19 09:24:32 	The program pointer of task MotionSupL has been reset.	{args: "6", "0", "MotionSupL"}
62086     	I   	Operational         	10155   	Program restarted                       	2016-10-19 09:24:32 	Execution of task T_ROB_R has been restarted from where it was previously stopped. The originator could not be determined.	{args: "1", "T_ROB_R"}
62087     	I   	Operational         	10155   	Program restarted                       	2016-10-19 09:24:32 	Execution of task T_ROB_L has been restarted from where it was previously stopped. The originator could not be determined.	{args: "2", "T_ROB_L"}
62088     	I   	Operational         	10150   	Program started                         	2016-10-19 09:24:32 	Execution of task MotionLoggerL has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "3", "MotionLoggerL"}
62089     	I   	Operational         	10150   	Program started                         	2016-10-19 09:24:32 	Execution of task MotionLoggerR has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "4", "MotionLoggerR"}
62090     	I   	Operational         	10150   	Program started                         	2016-10-19 09:24:32 	Execution of task Shared has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "5", "Shared"}
62091     	I   	Operational         	10150   	Program started                         	2016-10-19 09:24:32 	Execution of task MotionSupL has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "6", "MotionSupL"}
62092     	I   	Operational         	10129   	Program stopped                         	2016-10-19 09:24:32 	The task MotionLoggerL has stopped. The reason is that the event routine for RESET or POWER_ON is ready. 	{args: "3", "MotionLoggerL"}
62093     	I   	Operational         	10129   	Program stopped                         	2016-10-19 09:24:32 	The task MotionLoggerR has stopped. The reason is that the event routine for RESET or POWER_ON is ready. 	{args: "4", "MotionLoggerR"}
62094     	I   	Operational         	10129   	Program stopped                         	2016-10-19 09:24:32 	The task Shared has stopped. The reason is that the event routine for RESET or POWER_ON is ready. 	{args: "5", "Shared"}
62095     	I   	Operational         	10129   	Program stopped                         	2016-10-19 09:24:32 	The task MotionSupL has stopped. The reason is that the event routine for RESET or POWER_ON is ready. 	{args: "6", "MotionSupL"}
62096     	I   	Operational         	10129   	Program stopped                         	2016-10-19 09:24:32 	The task T_ROB_R has stopped. The reason is that the event routine for RESET or POWER_ON is ready. 	{args: "1", "T_ROB_R"}
62097     	I   	Operational         	10129   	Program stopped                         	2016-10-19 09:24:32 	The task T_ROB_L has stopped. The reason is that the event routine for RESET or POWER_ON is ready. 	{args: "2", "T_ROB_L"}
62098     	I   	Operational         	10150   	Program started                         	2016-10-19 09:24:32 	Execution of task MotionLoggerL has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "3", "MotionLoggerL"}
62099     	I   	Operational         	10150   	Program started                         	2016-10-19 09:24:32 	Execution of task MotionLoggerR has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "4", "MotionLoggerR"}
62100     	I   	Operational         	10150   	Program started                         	2016-10-19 09:24:32 	Execution of task Shared has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "5", "Shared"}
62101     	I   	Operational         	10150   	Program started                         	2016-10-19 09:24:32 	Execution of task MotionSupL has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "6", "MotionSupL"}
62102     	E   	Operational         	10110   	Service Message                         	2016-10-19 09:24:32 	The gearbox at rob_R_1 of robot ROB_R needs service.	{args: "rob_R_1", "ROB_R"}
62103     	E   	Operational         	10110   	Service Message                         	2016-10-19 09:24:32 	The gearbox at rob_R_2 of robot ROB_R needs service.	{args: "rob_R_2", "ROB_R"}
62104     	E   	Operational         	10110   	Service Message                         	2016-10-19 09:24:32 	The gearbox at rob_L_1 of robot ROB_L needs service.	{args: "rob_L_1", "ROB_L"}
62105     	E   	Operational         	10110   	Service Message                         	2016-10-19 09:24:32 	The gearbox at rob_L_2 of robot ROB_L needs service.	{args: "rob_L_2", "ROB_L"}
62106     	I   	Operational         	10015   	Manual mode selected                    	2016-10-19 09:24:56 	The system is in the Manual mode.	{args: }
62107     	I   	Operational         	10012   	Safety guard stop state                 	2016-10-19 09:24:56 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
62108     	I   	Operational         	10010   	Motors OFF state                        	2016-10-19 09:24:57 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
62109     	I   	IO & Communication  	71276   	Communication established with I/O device	2016-10-19 09:24:57 	 Communication established with I/O device Hand_R with address 192.168.125.30 on network EtherNetIP. 	{args: "Hand_R", "192.168.125.30", "EtherNetIP"}
62110     	I   	IO & Communication  	71276   	Communication established with I/O device	2016-10-19 09:24:57 	 Communication established with I/O device Hand_L with address 192.168.125.40 on network EtherNetIP. 	{args: "Hand_L", "192.168.125.40", "EtherNetIP"}
62111     	I   	Operational         	10011   	Motors ON state                         	2016-10-19 09:24:57 	The system is in the Motors ON state.	{args: }
62112     	I   	Operational         	10016   	Automatic mode requested                	2016-10-19 09:24:58 	The system has been ordered to go to the Automatic mode.	{args: }
62113     	I   	Operational         	10017   	Automatic mode confirmed                	2016-10-19 09:24:59 	The system is in the Automatic mode.	{args: }
62114     	I   	Operational         	10002   	Program pointer has been reset          	2016-10-19 09:25:02 	The program pointer of task T_ROB_R has been reset.	{args: "1", "0", "T_ROB_R"}
62115     	I   	Operational         	10002   	Program pointer has been reset          	2016-10-19 09:25:02 	The program pointer of task T_ROB_L has been reset.	{args: "2", "0", "T_ROB_L"}
62116     	I   	Operational         	10052   	Regain start                            	2016-10-19 09:25:03 	A regain movement has started.	{args: "0"}
62117     	I   	Operational         	10053   	Regain ready                            	2016-10-19 09:25:03 	The regain movement is ready.	{args: "0"}
